Title,Genre,Year,Rating,Box Office (M$),Duration (min)
Dune: Part Two,Sci-Fi,2024,8.6,711,166
Oppenheimer,Biography,2023,8.3,952,180
Barbie,Comedy,2023,6.8,1446,114
Avatar: The Way of Water,Sci-Fi,2022,7.6,2320,192
Top Gun: Maverick,Action,2022,8.2,1489,130
Spider-Man: No Way Home,Action,2021,8.2,1921,148
The Batman,Action,2022,7.8,771,176
Guardians of the Galaxy Vol. 3,Action,2023,7.9,845,150
The Super Mario Bros. Movie,Animation,2023,7,1362,92
Inside Out 2,Animation,2024,7.6,1698,96
Deadpool & Wolverine,Action,2024,7.7,1338,128
Dune,Sci-Fi,2021,8,402,155
No Time to Die,Action,2021,7.3,774,163
Black Panther: Wakanda Forever,Action,2022,6.7,859,161
Jurassic World Dominion,Action,2022,5.6,1001,147
Doctor Strange 2,Action,2022,6.9,955,126
Minions: The Rise of Gru,Animation,2022,6.5,939,87
Thor: Love and Thunder,Action,2022,6.2,760,118
Everything Everywhere All at Once,Sci-Fi,2022,7.8,143,139
Killers of the Flower Moon,Drama,2023,7.6,156,206
The Whale,Drama,2022,7.7,54,117
Poor Things,Comedy,2023,7.8,117,141
Wonka,Musical,2023,7.1,632,116
Mission: Impossible 7,Action,2023,7.7,567,163
Elemental,Animation,2023,7,496,101

